UniProt Accession Number,Reagent Type,Target Name / Protein Biomarker,Target Species,Host Organism,Isotype,Clonality,Vendor,Catalog Number,Conjugate,RRID,Availability,Method,Tissue Preservation,Target Tissue,Tissue State,Detergent,Antigen Retrieval Conditions,Dye Inactivation Conditions,Recommend,Agree,Disagree,Contributor,Image Files,Captions,MD5
P62737,Primary Antibody,Alpha smooth muscle actin,Mouse,Mouse,IgG2a,1A4,Thermo Fisher Scientific,53-9760-82,AF488,AB_2574461,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P62737,Primary Antibody,Alpha smooth muscle actin,Mouse,Mouse,IgG2a,1A4,Thermo Fisher Scientific,53-9760-82,AF488,AB_2574461,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P62737,Primary Antibody,Alpha smooth muscle actin,Mouse,Mouse,IgG2a,1A4,Thermo Fisher Scientific,53-9760-82,AF488,AB_2574461,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P15379,Primary Antibody,CD44,Mouse,Rat,IgG2b,IM7,BioLegend,103002 (Unconjugated),AF532,AB_2892768,Custom,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD44_AF532/Mouse_Thymus_CD44_TCRgt.jpg,"Mouse thymus: CD44 (blue, based on catalog number 103002) and TCRgd (yellow, catalog number 118108)",1e272dc161e4131f2375f9975d121c6c
P06800,Primary Antibody,CD45,Mouse,Rat,IgG2b,30-F11,BioLegend,103128,AF700,AB_493715,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Primary Antibody,Cytokeratin,Mouse,Mouse,IgG1,C-11,BioLegend,628604,AF647,AB_2563652,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Thymus,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD206_BV421/Mouse_Thymus_CD206_Cytokeratin.jpg,"Mouse thymus: CD206 (cyan, catalog number 141717) and Cytokeratin (purple, catalog number 628604)",2b4c8e87eadbe2f06307dcd6a722d87f
P06332,Primary Antibody,CD4,Mouse,Rat,IgG2a,RM4-5,Thermo Fisher Scientific,58-0042-80,AF532,AB_11219484,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P06332,Primary Antibody,CD4,Mouse,Rat,IgG2a,RM4-5,Thermo Fisher Scientific,58-0042-80,AF532,AB_11219484,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q8BHC0,Primary Antibody,LYVE-1,Mouse,Rat,IgG1,ALY7,Thermo Fisher Scientific,41-0443-82,eF570,AB_2573596,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q8BHC0,Primary Antibody,LYVE-1,Mouse,Rat,IgG1,ALY7,Thermo Fisher Scientific,41-0443-82,eF570,AB_2573596,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q8BHC0,Primary Antibody,LYVE-1,Mouse,Rat,IgG1,ALY7,Thermo Fisher Scientific,41-0443-82,eF570,AB_2573596,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q08481,Primary Antibody,CD31,Mouse,Rat,IgG2a,MEC13.3,BioLegend,102520,AF594,AB_2563319,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 for more than 120 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Ly-6G_AF488/Mouse_Lung_Ly6G_CD8_CD31.jpg,"Mouse lung: Ly-6G (yellow, catalog number 127626), CD31 (blue, catalog number 102520), and CD8 (red, catalog number 100724)",2758f9024f8ed63e44e02bd58d0d7f0a
Q8R2S8,Primary Antibody,Ly-6G,Mouse,Rat,IgG2a,1A8,BioLegend,127626,AF488,AB_2561340,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,Ly-6G_AF488/Mouse_Lung_Ly6G_CD8_CD31.jpg,"Mouse lung: Ly-6G (yellow, catalog number 127626), CD31 (blue, catalog number 102520), and CD8 (red, catalog number 100724)",2758f9024f8ed63e44e02bd58d0d7f0a
O88713,Primary Antibody,KLRG1,Mouse,Syrian Hamster,IgG2,2F1,BD Biosciences,561619,AF488,AB_10898017,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
O88713,Primary Antibody,KLRG1,Mouse,Syrian Hamster,IgG2,2F1,BD Biosciences,561619,AF488,AB_10898017,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
O88713,Primary Antibody,KLRG1,Mouse,Syrian Hamster,IgG2,2F1,BD Biosciences,561619,AF488,AB_10898017,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01878,Primary Antibody,IgA,Mouse,Goat,IgG,Polyclonal,SouthernBiotech,1040-32,AF555,AB_2794378,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P01878,Primary Antibody,IgA,Mouse,Goat,IgG,Polyclonal,SouthernBiotech,1040-32,AF555,AB_2794378,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P15379,Primary Antibody,CD44,Mouse,Rat,IgG2b,IM7,BioLegend,103018,AF647,AB_493681,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P15379,Primary Antibody,CD44,Mouse,Rat,IgG2b,IM7,BioLegend,103018,AF647,AB_493681,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD44_AF647/Mouse_Lymph_Node_CD44.jpg,Mouse lymph node: CD44 (catalog number 103018),4b55237fdd1ac58b09ff70f01a43eb7f
P01731,Primary Antibody,CD8,Mouse,Rat,IgG2a,53-6.7,BioLegend,100724,AF647,AB_389326,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lung,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Primary Antibody,CD35,Mouse,Rat,IgG2a,8C12,BD Biosciences,740132,BV510,AB_2739889,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q99JB6,Primary Antibody,FOXP3,Mouse,Rat,IgG2a,FJK-16s,Thermo Fisher Scientific,41-5773-82,eF570,AB_11219073,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q99JW5,Primary Antibody,EpCAM,Mouse,Rat,IgG2a,G8.8,BioLegend,118222,AF594,AB_2563322,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 for more than 120 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,EpCAM_AF594/Mouse_Gut_EpCAM_CD8_CD31.jpg;EpCAM_AF594/Mouse_Gut_EpCAM_IgD_CD11c.jpg;EpCAM_AF594/Mouse_Gut_EpCAM_CD117_B220.jpg;EpCAM_AF594/Mouse_Gut_EpCAM_CD31_MHCII.jpg,"Mouse gut: EpCAM (magenta, catalog number 118222), CD8 (blue, catalog number 100738), and CD31 (green, catalog number 102516);Mouse gut: EpCAM (blue, catalog number 118222), IgD (red, catalog number 405730), and CD11c (cyan, catalog number 117312);Mouse gut: EpCAM (cyan, catalog number 118222), B220 (purple, catalog number 103248), and CD117 (yellow, catalog number 105827);Mouse gut: EpCAM (blue, catalog number 118222), CD31 (magenta, catalog number 102516), and MHCII (green, catalog number 107622)",3e2b30511e3414b382a9b02e02ea7178;d412293d2e922c14dffa8b1544749307;e164a281991499b1426ca401ec12c51b;ecd14a76efe662cdf549885d3263d47c
NA,Secondary Antibody,Rabbit IgG (H+L),Mouse,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-11009,AF532,AB_2534076,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P05532,Primary Antibody,CD117,Mouse,Rat,IgG2b,2B8,BioLegend,105827,BV421,AB_10898120,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,EpCAM_AF594/Mouse_Gut_EpCAM_CD117_B220.jpg,"Mouse gut: EpCAM (cyan, catalog number 118222), B220 (purple, catalog number 103248), and CD117 (yellow, catalog number 105827)",e164a281991499b1426ca401ec12c51b
NA,Primary Antibody,B220,Mouse,Rat,IgG2a,RA3-6B2,BioLegend,103248,BV510,AB_2650679,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q08481,Primary Antibody,CD31,Mouse,Rat,IgG2a,MEC13.3,BioLegend,102516,AF647,AB_2161029,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,EpCAM_AF594/Mouse_Gut_EpCAM_CD31_MHCII.jpg,"Mouse gut: EpCAM (blue, catalog number 118222), CD31 (magenta, catalog number 102516), and MHCII (green, catalog number 107622)",ecd14a76efe662cdf549885d3263d47c
P06800,Primary Antibody,CD45,Mouse,Rat,IgG2b,30-F11,BioLegend,103134,BV421,AB_2562559,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Small Intestine,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P06332,Primary Antibody,CD4,Mouse,Rat,IgG2b,GK1.5,BioLegend,100443,BV421,AB_2562557,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,CD4_BV421/Mouse_Liver_CD4_CD11c_CD11b.jpg,"Mouse liver: CD4 (yellow, catalog number 100443), CD11c (cyan, catalog number 117312), and CD11b (purple, catalog number 101217)",9a55e77f499b8b152ffd454073afb55b
P02468; P19137,Primary Antibody,Laminin 1 + 2,Mouse,Rabbit,IgG,Polyclonal,Abcam,ab7463,Unconjugated,AB_305933,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,NA,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
NA,Secondary Antibody,Rabbit IgG (H+L),Mouse,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-11037,AF594,AB_2534095,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 for more than 120 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P09803,Primary Antibody,E-cadherin,Mouse,Rat,IgG1,DECMA-1,BioLegend,147308,AF647,AB_2563955,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,E-cadherin_AF647/Mouse_Liver_Ecadherin_CD45.jpg;E-cadherin_AF647/Mouse_Liver_Ecadherin_MHCII.jpg,"Mouse liver: E-Cadherin (red, catalog number 147308), and CD45 (cyan, catalog number 103128);Mouse liver: E-Cadherin (blue, catalog number 147308) and MHCII (magenta, catalog number 107622)",0f4722b29edbc2f302431e86b6bfaf30;e8707f5892cc69fa7bc706ca099f0b78
P17661,Primary Antibody,Desmin,Mouse,Rabbit,IgG,Polyclonal,Abcam,ab15200,Unconjugated,AB_301744,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,NA,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
NA,Zenon Labeling Kit,Rabbit IgG (H+L),Mouse,Goat,Fab2,Polyclonal,Thermo Fisher Scientific,Z25303,AF532,NA,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
Q9EQ16,Primary Antibody,CXCR6,Mouse,Rat,IgG2b,FAB2145R,Novus Biologicals,221002,AF647,NA,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
P15379,Primary Antibody,CD44,Mouse,Rat,IgG2b,IM7,BioLegend,103026,AF700,AB_493713,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,CD8_BV421/Mouse_Liver_CD8_CD44_NK1.1.jpg,"Mouse liver: CD8 (cyan, catalog number 100738), CD44 (blue, catalog number 103026), and NK1.1 (red, catalog number 108731)",199b6d16bb9918d1912ca577be89f353
P30548,Primary Antibody,NK1.1,Mouse,Mouse,IgG2a,PK136,BioLegend,108731,BV421,AB_10895916,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
P22646,Primary Antibody,CD3,Mouse,Rat,IgG2b,17A2,Thermo Fisher Scientific,58-0032-80,AF532,AB_11220474,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
NA,Primary Antibody,B220,Mouse,Rat,IgG2a,RA3-6B2,BioLegend,103226,AF647,AB_389330,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
P06800,Primary Antibody,CD45,Mouse,Rat,IgG2b,30-F11,BioLegend,103128,AF700,AB_493715,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,E-cadherin_AF647/Mouse_Liver_Ecadherin_CD45.jpg,"Mouse liver: E-Cadherin (red, catalog number 147308), and CD45 (cyan, catalog number 103128)",0f4722b29edbc2f302431e86b6bfaf30
Q6U7R4,Primary Antibody,Tim-4,Mouse,Rat,IgG1,21H12,BD Biosciences,742773,BV421,AB_2741037,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
P24788,Primary Antibody,CD11b,Mouse,Rat,IgG2b,M1/70,BioLegend,101217,AF488,AB_389305,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,CD4_BV421/Mouse_Liver_CD4_CD11c_CD11b.jpg,"Mouse liver: CD4 (yellow, catalog number 100443), CD11c (cyan, catalog number 117312), and CD11b (purple, catalog number 101217)",9a55e77f499b8b152ffd454073afb55b
P15104,Primary Antibody,Glutamine synthetase,Mouse,Rabbit,IgG,Polyclonal,Abcam,ab49873,Unconjugated,AB_880241,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,NA,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
P11609,Primary Antibody,CD1d,Mouse,Rat,IgG2b,1B1,BD Biosciences,553846,PE,AB_2073521,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Liver,NA,NA,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-1431-1398,NA,0000-0003-1431-1398,NA,NA,NA
Q02242,Primary Antibody,PD-1,Mouse,Rat,IgG2a,29F.1.A12,BioLegend,135218,BV421,AB_2561447,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967;0000-0003-1118-7432,NA,0000-0003-4379-8967,PD-1_BV421/Mouse_Lymph_Node_PD1_CD23_IgD.jpg,"Mouse lymph node: PD-1 (green, catalog number 135218), CD23 (magenta, catalog number 101611), and IgD (blue, catalog number 405718)",06dd760dcf364af612d140d5289358d8
NA,Primary Antibody,CD35,Mouse,Rat,IgG2a,8C12,BD Biosciences,740132,BV510,AB_2739889,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967;0000-0003-1118-7432;0000-0002-1461-0999,NA,0000-0003-4379-8967,CD35_BV510/Mouse_LN_CD35_yellow_BD_740132_ColIV_blue_ab19808_A-11009.jpg;CD35_BV510/CD35_BV510_Green_DAPI_Blue_Mouse_LN.jpg,"Mouse lymph node: CD35 (yellow, catalog number 740132) and Collagen IV (blue, catalog number ab19808 and A-11009);Mouse (immunized) lymph node: CD35 (green, catalog number 740132) and DAPI (blue, catalog number 62248)",ceb4fd8cd2cc42201659aa8226b9f07a;284a4ff657463f54944c9bc42c6cebec
NA,Primary Antibody,B220,Mouse,Rat,IgG2a,RA3-6B2,BD Biosciences,557669,AF488,AB_396781,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967;0000-0003-1118-7432,NA,0000-0003-4379-8967,B220_AF488/Mouse_LN_B220_cyan_BD_557669_CD3_red_BioLegend_100240.jpg,"Mouse lymph node: B220 (cyan, catalog number 557669) and CD3 (red, catalog number 100240)",70ba1f6cb266c846c2be414648e31960
P41183,Primary Antibody,BCL6,Mouse,Mouse,IgG1,K112-91,BD Biosciences,561525,AF647,AB_10898007,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q9ES57,Primary Antibody,CD200,Mouse,Rat,IgG2a,OX-90,BD Biosciences,565547,BV421,AB_2739289,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967;0000-0002-1461-0999,NA,0000-0003-4379-8967,CD200_BV421/CD200_BV421_Grey_Mouse_LN.jpg,"Mouse lymph node: CD200 (grey, catalog number 565547)",354c6e657d05a678e0406158f51b294d
Q62011,Primary Antibody,gp38,Mouse,Syrian Hamster,IgG,8.1.1,BioLegend,127401,Unconjugated,AB_1089186,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,NA,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,gp38_Unconjugated/Mouse_Lymph_Node_gp38_SIRPa.jpg,"Mouse lymph node: gp38 (purple, catalog number 127401) and SIRPalpha (cyan, catalog number 144024)",f5a2e0cfb22dc052868791299069abd6
NA,Secondary Antibody,Hamster IgG (H+L),Mouse,Goat,IgG,Polyclonal,Thermo Fisher Scientific,A-21451,AF647,AB_2535868,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
Q8VBX4,Primary Antibody,CD207,Mouse,Rat,IgG2a,eBioL31,Thermo Fisher Scientific,12-2075-80,PE,AB_763453,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Primary Antibody,F4/80,Mouse,Rat,IgG2a,BM8,BioLegend,123132,BV421,AB_11203717,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes + light,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,F4_80_BV421/Mouse_Lymph_Node_F480_CD68_NK1.1.jpg,"Mouse lymph node: F4/80 (cyan, catalog number 123132), CD68 (blue, catalog number 137017) and NK1.1 (magenta, catalog number 108731)",9392cd8567f7b71df3b9533147a9844b
P06332,Primary Antibody,CD4,Mouse,Rat,IgG2b,GK1.5,BD Biosciences,553730,PE,AB_396634,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
NA,Primary Antibody,TCR gamma delta,Mouse,Armenian Hamster,IgG,GL3,BioLegend,118108,PE,AB_313832,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,NA,NA,NA
P26151,Primary Antibody,CD64,Mouse,Mouse,IgG1,X54-5/7.1,BioLegend,139322,AF647,AB_2566561,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967;0000-0002-1461-0999,NA,0000-0003-4379-8967,CD11c_AF647/Mouse_Lymph_Node_CD11c_CD64.jpg;CD64_AF647/CD64_AF647_Grey_Mouse_LN.jpg,"Mouse lymph node: CD11c (red, catalog number 117312) and CD64 (cyan, catalog number 139322);Mouse lymph node: CD64 (grey, catalog number 139322)",10fdf9a024dd4590d313082aaf540343;0a8e934ad6cc1de5091f8710a9ed41a9
NA,Primary Antibody,CD21,Mouse,Rat,IgG2a,7.E.9,BioLegend,123413,Pacific Blue,AB_2085159,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD21_Pacific_Blue/Mouse_Lymph_Node_CD21_Pax5.jpg,"Mouse lymph node: CD21 (purple, catalog number 123413) and Pax5 (cyan, catalog number 649704)",17b824f35ee512d588678dbbb8113411
P29533,Primary Antibody,CD106,Mouse,Rat,IgG2a,429,BioLegend,105710,AF488,AB_493427,Stock,IBEX2D Manual,1:4 Cytofix/Cytoperm Fixed Frozen,Lymph Node,NA,0.3% Triton-X-100,NA,1 mg/ml LiBH4 15 minutes,Yes,0000-0003-4379-8967,NA,0000-0003-4379-8967,CD206_BV421/Mouse_Lymph_Node_CD206_CD106.jpg,"Mouse lymph node: CD206 (red, catalog number 141717) and CD106 (cyan, catalog number 105710)",a2504884d0ffa77362e659458637cf50
